ID do veículo,data,tempo de viagem,velocidade média,consumo de combustível,carga transportada,ID do motorista,feedback do cliente
1,2022-01-01 08:15:00,30,60,10,100,101,4.5 
2,2022-01-02 14:30:00,45,55,15,200,102,4.2 
3,2022-01-02 10:45:00,20,40,8,50,103,4.8 
4,2022-01-03 09:20:00,35,50,12,150,101,3.9 
5,2022-01-04 12:10:00,50,45,18,250,104,4.6 
6,2022-01-04 11:30:00,25,55,9,80,103,4.1 
7,2022-01-05 16:45:00,40,40,14,180,105,3.7 
8,2022-01-05 13:20:00,55,35,20,300,106,4.3 
9,2022-01-06 09:30:00,30,50,10,100,102,4.5 
10,2022-01-07 11:45:00,40,45,13,150,101,4.0 
11,2022-01-08 09:30:00,35,55,12,120,103,4.4 
12,2022-01-09 15:20:00,50,40,18,250,104,3.9 
13,2022-01-10 14:10:00,30,50,10,100,102,4.5 
14,2022-01-11 12:45:00,45,45,15,200,105,4.2 
15,2022-01-12 10:30:00,25,60,9,80,103,4.8 
16,2022-01-13 16:40:00,40,40,14,180,106,4.3 
17,2022-01-14 13:15:00,55,35,20,300,107,4.7 
18,2022-01-15 09:45:00,35,50,11,120,101,4.1 
19,2022-01-16 11:20:00,40,45,13,150,102,4.6 
20,2022-01-17 15:10:00,50,40,17,220,104,4.2 
21,2022-01-18 14:00:00,30,55,10,100,103,4.7 
22,2022-01-19 12:30:00,45,50,15,200,105,4.3 
23,2022-01-20 10:15:00,25,60,8,80,106,4.9 
24,2022-01-21 16:35:00,40,40,14,180,107,4.4 
25,2022-01-22 13:10:00,55,35,19,280,108,4.1 
26,2022-01-23 09:40:00,35,50,12,120,101,4.6 
27,2022-01-24 11:15:00,40,45,13,150,102,4.2 
28,2022-01-25 15:05:00,50,40,18,220,105,4.7 
29,2022-01-26 14:00:00,30,55,10,100,103,4.3 
30,2022-01-27 12:25:00,45,50,15,200,104,4.8 
31,2022-01-28 10:10:00,25,60,9,80,106,4.4 
32,2022-01-29 16:30:00,40,40,14,180,107,4.0 
33,2022-01-30 13:05:00,55,35,19,280,108,4.6 
34,2022-01-31 09:35:00,35,50,11,120,101,4.2 
35,2022-02-01 11:10:00,40,45,13,150,102,4.7 
36,2022-02-02 14:55:00,50,40,17,220,104,4.3 
37,2022-02-03 13:50:00,30,55,10,100,103,4.8 
38,2022-02-04 12:15:00,45,50,15,200,105,4.4 
39,2022-02-05 16:05:00,25,60,9,80,106,4.9 
40,2022-02-06 14:50:00,40,40,14,180,107,4.5 
41,2022-02-07 13:25:00,55,35,19,280,108,4.1 
42,2022-02-08 09:55:00,35,50,11,120,101,4.6 
43,2022-02-09 11:30:00,40,45,13,150,102,4.2 
44,2022-02-10 15:20:00,50,40,17,220,104,4.7 
45,2022-02-11 14:15:00,30,55,10,100,103,4.3 
46,2022-02-12 12:40:00,45,50,15,200,105,4.8 
47,2022-02-13 16:30:00,25,60,9,80,106,4.4 
48,2022-02-14 14:55:00,40,40,14,180,107,4.9 
49,2022-02-15 13:50:00,55,35,19,280,108,4.5 
50,2022-02-16 10:25:00,35,50,11,120,101,4.1 
51,2022-02-17 12:00:00,40,45,13,150,102,4.6 
52,2022-02-18 15:50:00,50,40,17,220,104,4.2 
53,2022-02-19 14:45:00,30,55,10,100,103,4.7 
54,2022-02-20 13:10:00,45,50,15,200,105,4.3 
55,2022-02-21 17:00:00,25,60,9,80,106,4.8 
56,2022-02-22 15:45:00,40,40,14,180,107,4.4 
57,2022-02-23 14:40:00,55,35,19,280,108,4.9 
58,2022-02-24 11:15:00,35,50,11,120,101,4.5 
59,2022-02-25 12:50:00,40,45,13,150,102,4.1 
60,2022-02-26 16:40:00,50,40,17,220,104,4.6 
61,2022-02-27 15:35:00,30,55,10,100,103,4.2 
62,2022-02-28 14:00:00,45,50,15,200,105,4.7 
63,2022-03-01 17:50:00,25,60,9,80,106,4.3 
64,2022-03-02 16:35:00,40,40,14,180,107,4.8 
65,2022-03-03 15:30:00,55,35,19,280,108,4.4 
66,2022-03-04 12:05:00,35,50,11,120,101,4.9 
67,2022-03-05 13:40:00,40,45,13,150,102,4.5 
68,2022-03-06 17:30:00,50,40,17,220,104,4.1 
69,2022-03-07 16:25:00,30,55,10,100,103,4.6 
70,2022-03-08 14:50:00,45,50,15,200,105,4.2 
71,2022-03-09 18:40:00,25,60,9,80,106,4.7 
72,2022-03-10 17:35:00,40,40,14,180,107,4.3 
73,2022-03-11 16:30:00,55,35,19,280,108,4.8 
74,2022-03-12 13:05:00,35,50,11,120,101,4.4 
75,2022-03-13 14:40:00,40,45,13,150,102,4.9 
76,2022-03-14 18:30:00,50,40,17,220,104,4.5 
77,2022-03-15 17:25:00,30,55,10,100,103,4.1 
78,2022-03-16 15:50:00,45,50,15,200,105,4.6 
79,2022-03-17 19:40:00,25,60,9,80,106,4.2 
80,2022-03-18 18:35:00,40,40,14,180,107,4.7 
81,2022-03-19 17:30:00,55,35,19,280,108,4.3 
82,2022-03-20 14:05:00,35,50,11,120,101,4.8 
83,2022-03-21 15:40:00,40,45,13,150,102,4.4 
84,2022-03-22 19:30:00,50,40,17,220,104,4.9 
85,2022-03-23 18:25:00,30,55,10,100,103,4.5 
